"URL","Context","TableIndex","Rows","Columns","FirstRow"
"https://mgm.ibos.io/hrAdmin/attendance","base","0","3","19"," | SL | Action | Employee Code | Employee | Designation | Department | Department Section | Date | Day | Calendar | In-Time | Out-Time | In-Time Location | Out-Time Location | Actual Attendance | Request Attendance | Remarks | Approval Status"
"https://mgm.ibos.io/hrAdmin/config","base","0","1","5","SL | Employee Type | Leave Type | No. of Days | Action"
"https://mgm.ibos.io/hrAdmin/dashboard","base","0","2","4","Leave Type | Remaining | Taken | Quota"
"https://mgm.ibos.io/hrAdmin/leave&Movement","base","0","2","4","Leave Type | Remaining | Taken | Quota"
"https://mgm.ibos.io/hrAdmin/leave&Movement","base","1","2","8","Leave Type | Reason | From Date | To Date | Application Date | Approved by | Status | Action"
"https://mgm.ibos.io/hrAdmin/leave&Movement","base","2","2","9","Movement Type | Reason | From Date | Start Time | To Date | End Time | Approved by | Status | Action"
"https://mgm.ibos.io/hrAdmin/overtime","base","0","1","11","SL | Code | Employee | Designation | Department | Date | Start Time | End Time | Hours | Status | "
"https://mgm.ibos.io/hrAdmin/overtime","base","1","2","10","SL | Code | Employee | Designation | Department | Date | Start Time | End Time | Hours | Status"
"https://mgm.ibos.io/hrAdmin/profile","base","0","1","10","SL | Action | Code | Employee Name | Designation | Department | Employee Type | Date Of Joining | Supervisor | "
"https://mgm.ibos.io/hrAdmin/profile","base","1","2","9","SL | Action | Code | Employee Name | Designation | Department | Employee Type | Date Of Joining | Supervisor"
"https://mgm.ibos.io/hrAdmin/selfService","base","0","1","10","SL | Action | Request No | Office | Employee | Service Type | Applied Date | Status | Issued By | "
"https://mgm.ibos.io/hrAdmin/selfService","base","1","3","9","SL | Action | Request No | Office | Employee | Service Type | Applied Date | Status | Issued By"
"https://mgm.ibos.io/inventory/invDashboard","base","0","5","3","Item Name | Daily Consumption | Stock Availability"
"https://mgm.ibos.io/inventory/InvRequisition","base","0","13","9","SL | Requisition Code | Date | User Type | User | Remarks | Status | Review Comment | Actions"
"https://mgm.ibos.io/inventory/request","base","0","1","9","SL | Item Code | Item Type | Item Category | Item Name | UOM | Request Qty | Production Qty | Action"
"https://mgm.ibos.io/postcrm/complainManagement","base","0","51","11","SL | Date | Ticket No | Ticket Type | Customer Name | Title of Issue | Assign To | Service Required | Received By | Status | Actions"
"https://mgm.ibos.io/postcrm/warrantyManagement","base","0","1","10","SL | Date | Reference Code | Service No | Customer | Customer Mobile | Contact Person | Request Received By | Status | Action"
"https://mgm.ibos.io/production/billOfMaterial","base","0","4","14"," | SL | Action | Date | BOM Name | Item Name | Department | Section | UoM | Alt. UoM | Lot Size | Tolarence | BOM Value | Created By"
"https://mgm.ibos.io/production/productionEntry","base","0","7","20","SL | Action | Production Entry Date | Production Entry Code | Prod. Order/Sche No | Sales Order | Department | Section | Work Center | Shift | Item Name | Category | Sub Category | Total QTY | Excess QTY | Net Qty | Varience | Net Weight | Created By | Status"
"https://mgm.ibos.io/production/productionOrder","base","0","14","10","SL | Action | Order Date | Order Number | Item Name | Order QTY | Produced QTY | Remaining QTY | Produced Value | Status"
"https://mgm.ibos.io/production/workCenter","base","0","3","11","SL | Action | Department | Department Section | Work Center Code | Work Center Type | Work Center | Standard Run Hour | Capacity Per Hour | Rated Capacity Per Hour | Operator Tagging"
"https://mgm.ibos.io/purchase/goodsReceive","base","0","1","17","SL | Actions | Receive Date | Office | PO No | Invoice/GRN | Challan No | Shipment Document No. | VAT Challan No | Sales Invoice No | Delivery No | Warehouse | Supplier | Total Qty | Total (BDT) | Pending (BDT) | Prepared By"
"https://mgm.ibos.io/purchase/purchaseOrder","base","0","1","13","SL | Actions | Status | PO Date | Rece. Date | PO No | Reference No | PI No | Supplier | Created By | Amount (Foreign) | Amount (BDT) | Review Comment"
"https://mgm.ibos.io/sales/deliverySchedule","base","0","51","9","SL | SO Date | SO No | Customer Name | Amount (BDT) | Order By | Territory Name | Status | Action"
"https://mgm.ibos.io/sales/fieldCollection","base","0","9","14"," | SL | Date | Customer Code | Customer Name | Money Receipt No | Amount | Collection Type | Deposit Bank Acc No | Receive From Bank | Instrument No | Instrument Date | Collected By | Actions"
"https://mgm.ibos.io/sales/goodsSales","base","0","29","31","SL | Action | Type | Confirmation | Delivery Date | Order Date | SO No | Sales Force | Invoice | Vat Challan No | Challan No | Vehicle No | Customer Group | Customer Code | Customer | Project/Outlet/Ref | Shipping Address | Zone | Route | Section | Ref Customer PO | Ref Customer PO Date | Ref Customer PO Amount | Ref Invoice | Total | Total Discount | Total VAT | Total Amount | Pending Amount | Sales By | Payment Method"
"https://mgm.ibos.io/sales/salesQuotation","base","0","7","10","SL | Actions | Status | Quotation Code | Office Name | Customer Name | Mobile No. | Quotation Date | Valid Till Date | Amount"
"https://mgm.ibos.io/accounts/budgetSetup/create","create:Budget Create","0","1","17","Account Head | Expense Name | Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec | Total | Action | "
"https://mgm.ibos.io/accounts/budgetSetup/create","create:Budget Create","1","2","16","Account Head | Expense Name | Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec | Total | Action"
