"URL","Context","Id","Name","Placeholder","CurrentValue","OptionCount","Error"
"https://mgm.ibos.io/","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/accDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/accDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/bankAccount","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/bankAccount","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/bankAccount","base","_r_n_",,,,"0",
"https://mgm.ibos.io/accounts/budgetSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/budgetSetup","base","MGMForm_statusDDL",,,,"0",
"https://mgm.ibos.io/accounts/businessTransaction","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/centerSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/centerSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/centerSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/chequeDesign","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/chequeDesign","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/chequeDesign","base","_r_9_",,,,"0",
"https://mgm.ibos.io/accounts/chequeIssue","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/chequeIssue","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/chequeIssue","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/chequeSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/chequeSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/expenseIncomeHead","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/expenseIncomeHead","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/expenseOrAdvance","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/expenseOrAdvance","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/financialReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/financialReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/financialReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/financialReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/financialReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/fundTransfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/fundTransfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/fundTransfer","base","_r_8_",,,,"0",
"https://mgm.ibos.io/accounts/lcmargin","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/othersReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/othersReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/Project","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/Project","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/Project","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/accounts/Project","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetAssign","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetAssign","base","MGMForm_assetName",,,,"0",
"https://mgm.ibos.io/asset/assetDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetDepreciation","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetDisposal","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetMaintenance","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetRegister","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetRegister","base","MGMForm_division",,,,"0",
"https://mgm.ibos.io/asset/assetRegister","base","MGMForm_category",,,,"0",
"https://mgm.ibos.io/asset/assetRegister","base","MGMForm_subCategory",,,,"0",
"https://mgm.ibos.io/asset/assetRegister","base","MGMForm_minorCategory",,,,"0",
"https://mgm.ibos.io/asset/assetReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/asset/assetReport","base","MGMForm_viewBy",,,,"0",
"https://mgm.ibos.io/asset/assetReport","base","MGMForm_division",,,,"0",
"https://mgm.ibos.io/asset/assetReport","base","MGMForm_category",,,,"0",
"https://mgm.ibos.io/asset/assetReport","base","MGMForm_subCategory",,,,"0",
"https://mgm.ibos.io/commonapproval","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/approvalsetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/custoemerProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/custoemerProfile","base","MGMForm_office",,,,"0",
"https://mgm.ibos.io/config/custoemerProfile","base","MGMForm_partnerGroup",,,,"0",
"https://mgm.ibos.io/config/custoemerProfile","base","MGMForm_partnerSubGroup",,,,"0",
"https://mgm.ibos.io/config/custoemerProfile","base","MGMForm_filterByStatus",,,,"0",
"https://mgm.ibos.io/config/employee","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/employee","base","MGMForm_viewBy",,,,"0",
"https://mgm.ibos.io/config/employee","base","MGMForm_userType",,,,"0",
"https://mgm.ibos.io/config/employee","base","MGMForm_status",,,,"0",
"https://mgm.ibos.io/config/item","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/item","base","MGMForm_supplier",,,,"0",
"https://mgm.ibos.io/config/item","base","MGMForm_customer",,,,"0",
"https://mgm.ibos.io/config/item","base","MGMForm_itemType",,,,"0",
"https://mgm.ibos.io/config/item","base","MGMForm_itemDivision",,,,"0",
"https://mgm.ibos.io/config/item","base","MGMForm_itemCategory",,,,"0",
"https://mgm.ibos.io/config/otherPartnerProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/otherPartnerProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/otherPartnerProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/otherPartnerProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/profile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/responsibilityTransfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/responsibilityTransfer","base","MGMForm_fromUser",,,,"0",
"https://mgm.ibos.io/config/responsibilityTransfer","base","MGMForm_toUser",,,,"0",
"https://mgm.ibos.io/config/supplierProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/supplierProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/supplierProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/supplierProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/supplierProfile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/userGroup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/config/warehouse","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/acknowledgementLetter","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/acknowledgementLetter","base","MGMForm_documentType",,,,"0",
"https://mgm.ibos.io/hrAdmin/acknowledgementLetter","base","MGMForm_office",,,,"0",
"https://mgm.ibos.io/hrAdmin/acknowledgementLetter","base","MGMForm_employee",,,,"0",
"https://mgm.ibos.io/hrAdmin/attendance","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/attendance","base","MGMForm_viewBy",,,,"0",
"https://mgm.ibos.io/hrAdmin/attendance","base","MGMForm_employee",,,,"0",
"https://mgm.ibos.io/hrAdmin/attendance","base","MGMForm_status",,,,"0",
"https://mgm.ibos.io/hrAdmin/bonus","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/bonus","base","MGMForm_status",,,,"0",
"https://mgm.ibos.io/hrAdmin/calendarAssign","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/calendarAssign","base","MGMForm_office",,,,"0",
"https://mgm.ibos.io/hrAdmin/calendarAssign","base","MGMForm_department",,,,"0",
"https://mgm.ibos.io/hrAdmin/calendarAssign","base","MGMForm_departmentSection",,,,"0",
"https://mgm.ibos.io/hrAdmin/calendarAssign","base","MGMForm_designation",,,,"0",
"https://mgm.ibos.io/hrAdmin/calendarAssign","base","MGMForm_employee",,,,"0",
"https://mgm.ibos.io/hrAdmin/config","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/dashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/dashboard","base","userType",,,,"0",
"https://mgm.ibos.io/hrAdmin/dashboard","base","noticeYear",,,,"0",
"https://mgm.ibos.io/hrAdmin/increment","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/increment","base","MGMForm_office",,,,"0",
"https://mgm.ibos.io/hrAdmin/increment","base","MGMForm_status",,,,"0",
"https://mgm.ibos.io/hrAdmin/leave&Movement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/leave&Movement","base","employee",,,,"0",
"https://mgm.ibos.io/hrAdmin/leave&Movement","base","leaveType",,,,"0",
"https://mgm.ibos.io/hrAdmin/overtime","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/pendingApproval","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/pendingApproval","base","MGMForm_viewBy",,,,"0",
"https://mgm.ibos.io/hrAdmin/profile","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/report","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/report","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/salaryDisbursment","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/salaryDisbursment","base","MGMForm_office",,,,"0",
"https://mgm.ibos.io/hrAdmin/salaryDisbursment","base","MGMForm_month",,,,"0",
"https://mgm.ibos.io/hrAdmin/salaryDisbursment","base","MGMForm_year",,,,"0",
"https://mgm.ibos.io/hrAdmin/salarySheet","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/salarySheet","base","MGMForm_office",,,,"0",
"https://mgm.ibos.io/hrAdmin/salarySheet","base","MGMForm_month",,,,"0",
"https://mgm.ibos.io/hrAdmin/salarySheet","base","MGMForm_year",,,,"0",
"https://mgm.ibos.io/hrAdmin/selfService","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/hrAdmin/selfService","base","MGMForm_documentType",,,,"0",
"https://mgm.ibos.io/hrAdmin/selfService","base","MGMForm_office",,,,"0",
"https://mgm.ibos.io/hrAdmin/selfService","base","MGMForm_employee",,,,"0",
"https://mgm.ibos.io/inventory/audit","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/audit","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/audit","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/auditSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/auditSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/auditSetup","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/gateInOut","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/invDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/invDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/invDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/invDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/inventoryReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/inventoryReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/inventoryReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/inventoryReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/inventoryReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/inventoryReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/inventoryReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/InvRequisition","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/InvRequisition","base","_r_1c_",,,,"0",
"https://mgm.ibos.io/inventory/InvRequisitionIssue","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/Item-stock-convertion","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/Item-stock-convertion","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/Item-stock-convertion","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/Item-stock-convertion","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/Item-stock-convertion","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/qcManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/request","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/stock-adjustment","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/stock-adjustment","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/stock-adjustment","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/stock-adjustment","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/transfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/transfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/transfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/transfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/transfer","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/transferOutReceive","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/inventory/transferOutReceive","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/multi-level-approval","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/campaign","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/complainManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/complainManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/complainManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/complainManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/complainManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/configuration","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/crmReport","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/crmReports","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/crmReports","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/crmReports","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/crmReports","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/emailConfig","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/preSuspect","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/rejectLeadQC","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/salesTarget","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/salesTargetEmployeeWise","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/serviceAgreement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/stageTarget","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/warrantyManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/warrantyManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/warrantyManagement","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/postcrm/warrantyManagement","base","_r_f_",,,,"0",
"https://mgm.ibos.io/production/billOfMaterial","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/billOfMaterial","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/billOfMaterial","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/billOfMaterial","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/billOfMaterial","base","_r_h_",,,,"0",
"https://mgm.ibos.io/production/productionDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/productionEntry","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/productionEntry","base","_r_m_",,,,"0",
"https://mgm.ibos.io/production/productionOrder","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/productionOrder","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/productionOrder","base","_r_10_",,,,"0",
"https://mgm.ibos.io/production/productionReport","base",,,,,"1",
"https://mgm.ibos.io/production/workCenter","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/workCenter","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/workCenter","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/workCenter","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/production/workCenter","base","_r_c_",,,,"0",
"https://mgm.ibos.io/purchase/cs","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/cs","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/goodsReceive","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/goodsReceive","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/goodsReceive","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/goodsReceive","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/goodsReceive","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/invoice","base",,,,,"1",
"https://mgm.ibos.io/purchase/purchase","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchase","base","react-select-2-input",,,,"0",
"https://mgm.ibos.io/purchase/purchase","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchaseAnalytics","base",,,,,"1",
"https://mgm.ibos.io/purchase/purchaseDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchaseDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchaseDashboard","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchaseOrder","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchaseOrder","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchaseOrder","base","react-select-mgm-input",,,,"0",
"https://mgm.ibos.io/purchase/purchaseOrder","base","react-select-mgm-input",,,,"0",
